Title,Certificate,Genre,Rating,Running Time,Directors,Writers,Stars Cast,Country,Language,Budget,Gross,Release Date,Production Company
08/15 - Zweiter Teil,NULL,War,6,110 min.,Paul May,NULL,O.E. Hasse|Armin Dahlen|Rainer Penkert|Emmerich Schrenk,West Germany,NULL,NULL,NULL,NULL,Divina|Gloriafilm
10 Cloverfield Lane,PG13,Science Fiction|Thriller,8,103 min.,Dan Trachtenberg,NULL,"Mary Elizabeth Winstead|John Goodman|John Gallagher, Jr.|Maya Erskine",USA,NULL,NULL,NULL,"Mar 11, 2016 (USA)",Bad Robot
10 Rillington Place,NULL,Crime|Drama,8,111 min.,Richard Fleischer,NULL,Richard Attenborough|Judy Geeson|John Hurt|Pat Heywood,UK,NULL,NULL,NULL,"Feb 10, 1971 (USA - Unknown)",Columbia Pictures
127 Hours,R,Drama,8,94 min.,Danny Boyle,NULL,James Franco|Amber Tamblyn|Kate Mara|Kate Burton,UK|USA,NULL,NULL,NULL,"Nov 5, 2010 (USA - Limited)",Cloud Eight Films|Darlow Smithson|Decibel Pictures
12 Angry Men,NULL,Drama,9,95 min.,Sidney Lumet,NULL,"Henry Fonda|Lee J. Cobb|Ed Begley, Sr.|E.G. Marshall",USA,NULL,NULL,NULL,NULL,Orion-Nova Productions|United Artists
12 Years a Slave,R,Drama,8,133 min.,Steve McQueen,NULL,Chiwetel Ejiofor|Michael Fassbender|Brad Pitt|Benedict Cumberbatch,USA,NULL,NULL,NULL,"Oct 18, 2013 (USA - Limited)",Film4|New Regency Production|Plan B|River Road Entertainment
13 Hours: The Secret Soldiers of Benghazi,R,Drama|War,6,144 min.,Michael Bay,NULL,John Krasinski|Pablo Schreiber|James Badge Dale|Max Martini,USA,NULL,NULL,NULL,"Jan 15, 2016 (USA)",NULL
13 Minutes,R,Drama|War,6,114 min.,Oliver Hirschbiegel,NULL,Christian Friedel|Johann von BÃƒÂ_low|Felix Eitner|RÃƒÂ_diger Klink,Germany,NULL,NULL,NULL,"Jun 30, 2017 (USA - Limited)",Delphi Medien|Lucky Bird Pictures|Philipp Filmproduction
13 Tzameti,NULL,Thriller,7,93 min.,GÃƒÂ©la Babluani,NULL,Georges Babluani|AurÃƒÂ©lien Recoing|Pascal Bongard|Philippe Passon,France,NULL,NULL,NULL,"Jul 28, 2006 (USA - Limited)",Les Films de la Strada
16 Blocks,PG13,Crime,7,101 min.,Richard Donner,NULL,Bruce Willis|Mos Def|David Morse|Jenna Stern,Germany|USA,NULL,NULL,NULL,"Mar 3, 2006 (USA)",Alcon Entertainment|Cheyenne Productions|Emmett/Furla Films|Equity Pictures Medienfonds|Millennium Films|Nu Image Entertainment
