Title,Certificate,Genre,Rating,Running Time,Directors,Writers,Stars Cast,Country,Language,Budget,Gross,Release Date,Production Company
Descendants 2,TV-G,Action|Adventure|Family,6.7,1h 51min,Kenny Ortega,Sara Parriott|Josann McGibbon,Dove Cameron|Cameron Boyce|Sofia Carson,USA,English,NULL,NULL,21 July 2017 (USA),Disney Channel
White House Down,PG-13,Action|Comedy|Drama,6.4,2h 11min,Roland Emmerich,James Vanderbilt,Channing Tatum|Jamie Foxx|Maggie Gyllenhaal,USA,English,"$150,000,000 ","$205,366,737 ",28 June 2013 (USA),Columbia Pictures|Mythology Entertainment|Centropolis Entertainment
Point Break,PG-13,Action|Crime|Sport,5.3,1h 54min,Ericson Core,Kurt Wimmer|Rick King,Edgar RamÌ_rez|Luke Bracey|Ray Winstone,China|China|China,French|Spanish|English,"$105,000,000 ","$133,718,711 ",25 December 2015 (USA),Alcon Entertainment|DMG Entertainment|Ehman Productions
V for Vendetta,R,Action|Drama|Sci-Fi,8.2,2h 12min,James McTeigue,Lilly Wachowski|Lana Wachowski,Hugo Weaving|Natalie Portman|Rupert Graves,USA|USA|USA,English,"$54,000,000 ","$132,511,035,",17 March 2006 (USA),Warner Bros.|Virtual Studios|Silver Pictures
Angel,TV-14,Action|Drama|Fantasy,8,44min,NULL,NULL,David Boreanaz|Charisma Carpenter|Alexis Denisof,USA,English,"$2,000,000 ",NULL,5 October 1999 (USA),Mutant Enemy|Greenwolf|Kuzui Enterprises
Allied,R,Action|Drama|Romance,7.1,2h 4min,Robert Zemeckis,Steven Knight,Brad Pitt|Marion Cotillard|Jared Harris,UK|UK,English|French|German|Arabic,"$85,000,000 ","$109,098,064 ",23 November 2016 (USA),GK Films|Huahua Media|ImageMovers
Allegiant,PG-13,Action|Adventure|Mystery,5.7,2h,Robert Schwentke,Noah Oppenheim|Adam Cooper,Shailene Woodley|Theo James|Jeff Daniels,USA,English,"$110,000,000 ","$179,246,868 ",18 March 2016 (USA),Mandeville Films|Red Wagon Entertainment|Summit Entertainment
Tombstone,R,Action|Biography|Drama,7.8,2h 10min,George P. Cosmatos|Kevin Jarre,Kevin Jarre,Kurt Russell|Val Kilmer|Sam Elliott,USA,English|Latin,"$25,000,000 ",NULL,25 December 1993 (USA),Hollywood Pictures|Cinergi Pictures Entertainment
Mission: Impossible - Rogue Nation,PG-13,Action|Adventure|Thriller,7.4,2h 11min,Christopher McQuarrie,Christopher McQuarrie|Christopher McQuarrie,Tom Cruise|Rebecca Ferguson|Jeremy Renner,China|China|China,English|Swedish|German,"$150,000,000 ","$700,868,363 ",31 July 2015 (USA),Paramount Pictures|Skydance Media|Bad Robot
Acts of Violence,R,Action|Drama,5,1h 26min,Brett Donowho,Nicolas Aaron Mezzanatto,Bruce Willis|Cole Hauser|Shawn Ashmore,Canada,English,NULL,NULL,12 January 2018 (USA),Colecar Productions|Emmett/Furla/Oasis Films (EFO Films)|River Bay Films
