"Title","Certificate","Genre","Rating","Running Time","Directors","Writers","Stars Cast","Country","Language","Budget","Gross","Release Date","Production Company"
"The Deer Hunter","R","Drama","10","183 min.","Michael Cimino","NULL","Robert De Niro|John Cazale|John Savage|Meryl Streep","USA","NULL","NULL","NULL","Sep 22, 1976 (USA - Unknown)","EMI Film Productions|Universal"
"Midnight Cowboy","R","Drama","10","113 min.","John Schlesinger","NULL","Dustin Hoffman|Jon Voight|Sylvia Miles|John McGiver","USA","NULL","NULL","NULL","NULL","United Artists"
"Judgment at Nuremberg","NR","Drama","10","186 min.","Stanley Kramer","NULL","Spencer Tracy|Burt Lancaster|Richard Widmark|Marlene Dietrich","USA","NULL","NULL","NULL","Dec 19, 1961 (USA)","Stanley Kramer Productions|United Artists"
"Schindler's List","R","Drama|War","10","200 min.","Steven Spielberg","NULL","Liam Neeson|Ben Kingsley|Ralph Fiennes|Caroline Goodall","USA","NULL","NULL","NULL","Dec 15, 1993 (USA)","Universal"
"The Piano","R","Drama","10","120 min.","Jane Campion","NULL","Holly Hunter|Harvey Keitel|Sam Neill|Anna Paquin","Australia|France","NULL","NULL","NULL","Nov 12, 1993 (USA - Limited), Feb 11, 1994 (USA - Expanding)","CiBy 2000"
"On the Waterfront","NR","Drama","10","107 min.","Elia Kazan","NULL","Marlon Brando|Karl Malden|Lee J. Cobb|Rod Steiger","USA","NULL","NULL","NULL","NULL","Columbia Pictures"
"Rocky","PG","Drama","10","119 min.","John G. Avildsen","NULL","Sylvester Stallone|Talia Shire|Burt Young|Carl Weathers","USA","NULL","NULL","NULL","Nov 21, 1976 (USA - Limited), Dec 3, 1976 (USA), Jan 9, 2013 (USA - Rerelease)","United Artists"
"Sunset Boulevard","NR","Drama","10","110 min.","Billy Wilder","NULL","William Holden|Gloria Swanson|Erich Von Stroheim|Nancy Olson","USA","NULL","NULL","NULL","Aug 1, 1950 (USA)","Paramount"
"Pan's Labyrinth","R","Drama|Fantasy","10","119 min.","Guillermo del Toro","NULL","Ariadna Gil|Ivana Baquero|Sergi Lpez|Doug Jones","Mexico|Spain","NULL","NULL","NULL","Dec 29, 2006 (USA - Limited)","Esperanto Filmoj|Estudios Picasso|OMM|Picturehouse|Telecinco|Tequila Gang"
"The Bridge on the River Kwai","PG","War|Drama","10","161 min.","David Lean","NULL","William Holden|Alec Guinness|Jack Hawkins|Sessue Hayakawa","UK|USA","NULL","NULL","NULL","NULL","Columbia Pictures"
"Raging Bull","R","Drama","10","128 min.","Martin Scorsese","NULL","Robert De Niro|Cathy Moriarty|Joe Pesci|Frank Vincent","USA","NULL","NULL","NULL","Apr 24, 2013 (USA - Rerelease)","United Artists"
"To Kill a Mockingbird","NULL","Drama","10","130 min.","Robert Mulligan","NULL","Gregory Peck|Mary Badham|Philip Alford|John Megna","USA","NULL","NULL","NULL","Dec 25, 1962 (USA)","Universal"
"Citizen Kane","PG","Drama","10","119 min.","Orson Welles","NULL","Orson Welles|Joseph Cotten|Everett Sloane|Dorothy Comingore","USA","NULL","NULL","NULL","NULL","Mercury Productions"
"Taxi Driver","R","Drama","10","114 min.","Martin Scorsese","NULL","Robert De Niro|Cybill Shepherd|Peter Boyle|Albert Brooks","USA","NULL","NULL","NULL","Feb 8, 1976 (USA)","Columbia Pictures"
"Unforgiven","R","Western|Drama","10","131 min.","Clint Eastwood","NULL","Clint Eastwood|Gene Hackman|Morgan Freeman|Richard Harris","USA","NULL","NULL","NULL","Aug 7, 1992 (USA)","Malpaso|Warner Brothers"
"All the President's Men","PG","Drama","10","138 min.","Alan J. Pakula","NULL","Dustin Hoffman|Robert Redford|Jack Warden|Martin Balsam","USA","NULL","NULL","NULL","NULL","Warner Brothers"
"The Best Years of Our Lives","NULL","Drama|Epic","10","170 min.","William Wyler","NULL","Fredric March|Myrna Loy|Dana Andrews|Harold Russell","USA","NULL","NULL","NULL","NULL","Samuel Goldwyn Company"
"Cyrano De Bergerac","PG","Drama|Romance","10","135 min.","Jean-Paul Rappeneau","NULL","Anne Brochet|Vincent Perez|Jacques Weber|Roland Bertin","France","NULL","NULL","NULL","Nov 16, 1990 (USA)","Camra One|D.D. Productions|Films Antenne 2"
"Hud","NULL","Drama","10","112 min.","Martin Ritt","NULL","Paul Newman|Melvyn Douglas|Patricia Neal|Brandon de Wilde","USA","NULL","NULL","NULL","NULL","Paramount"
"The Hustler","NULL","Drama","10","134 min.","Robert Rossen","NULL","Paul Newman|Jackie Gleason|Piper Laurie|George C. Scott","USA","NULL","NULL","NULL","Sep 25, 1961 (USA)","20th Century Fox"
"The Last Picture Show","R","Drama","10","125 min.","Peter Bogdanovich","NULL","Timothy Bottoms|Jeff Bridges|Cybill Shepherd|Ben Johnson","USA","NULL","NULL","NULL","NULL","BBS|Columbia Pictures"
"The Right Stuff","PG","Drama","10","193 min.","Philip Kaufman","NULL","Sam Shepard|Scott Glenn|Ed Harris|Dennis Quaid","USA","NULL","NULL","NULL","NULL","Ladd Company|Warner Brothers"
"The Sweet Hereafter","R","Drama","10","110 min.","Atom Egoyan","NULL","Ian Holm|Sarah Polley|Bruce Greenwood|David Hemblen","Canada","NULL","NULL","NULL","Oct 10, 1997 (USA - Limited)","Alliance Atlantis Communications|Ego Film Arts|Fine Line Features"
"4 Months, 3 Weeks and 2 Days","NR","Drama","10","113 min.","Cristian Mungiu","NULL","Anamaria Marinca|Laura Vasiliu|Vlad Ivanov|Alexandru Potocean","Netherlands|Romania","NULL","NULL","NULL","Jan 25, 2008 (USA - Limited)","Mobra Films"
"Boyhood","R","Drama","10","165 min.","Richard Linklater","NULL","Patricia Arquette|Ethan Hawke|Ellar Coltrane|Lorelei Linklater","USA","NULL","NULL","NULL","Jul 11, 2014 (USA - Limited)","Detour Filmproduction"
"The Revenant","R","Action|Drama","10","156 min.","Alejandro G. Irritu","NULL","Leonardo DiCaprio|Tom Hardy|Domhnall Gleeson|Will Poulter","USA","NULL","NULL","NULL","Dec 25, 2015 (USA)","Anonymous Content|New Regency|RatPac Entertainment"
"The Crying Game","R","Drama","10","112 min.","Neil Jordan","NULL","Stephen Rea|Jaye Davidson|Miranda Richardson|Forest Whitaker","Ireland|UK|USA","NULL","NULL","NULL","Nov 25, 1992 (USA)","British Screen|Channel Four Films|Eurotrustees|Miramax|Nippon Film Development and Finance|Palace Films|Palace Pictures"
"Nashville","R","Drama","10","159 min.","Robert Altman","NULL","Henry Gibson|Barbara Baxley|Ned Beatty|Karen Black","USA","NULL","NULL","NULL","NULL","Paramount"
"A Streetcar Named Desire","PG","Drama","10","122 min.","Elia Kazan","NULL","Vivien Leigh|Marlon Brando|Kim Hunter|Karl Malden","USA","NULL","NULL","NULL","Sep 18, 1951 (USA)","Warner Brothers"
