,_id,l_MID,r_MID,Title_Title_jac_qgm_3_qgm_3,Title_Title_cos_dlm_dc0_dlm_dc0,Title_Title_jac_dlm_dc0_dlm_dc0,Title_Title_mel,Title_Title_lev_dist,Title_Title_lev_sim,Title_Title_nmw,Title_Title_sw,Running_Time_Running_Time_jac_qgm_3_qgm_3,Running_Time_Running_Time_cos_dlm_dc0_dlm_dc0,Running_Time_Running_Time_jac_dlm_dc0_dlm_dc0,Running_Time_Running_Time_mel,Running_Time_Running_Time_lev_dist,Running_Time_Running_Time_lev_sim,Running_Time_Running_Time_nmw,Running_Time_Running_Time_sw,Directors_Directors_jac_qgm_3_qgm_3,Directors_Directors_cos_dlm_dc0_dlm_dc0,Directors_Directors_jac_dlm_dc0_dlm_dc0,Directors_Directors_mel,Directors_Directors_lev_dist,Directors_Directors_lev_sim,Directors_Directors_nmw,Directors_Directors_sw,Release_Year_Release_Year_exm,Release_Year_Release_Year_anm,Release_Year_Release_Year_lev_dist,Release_Year_Release_Year_lev_sim,predicted,proba
0,0,2,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,1.0,1.0,0.0,1.0,1,1.0
1,1,3,2,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.5,0.4999999999999999,0.3333333333333333,0.9238095283508301,1.0,0.8571428571428572,6.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,1.0,1.0,0.0,1.0,1,1.0
2,3,7,3,1.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,0.4166666666666667,0.4999999999999999,0.3333333333333333,0.8492063283920288,2.0,0.7142857142857143,4.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,1.0,1.0,0.0,1.0,1,1.0
3,4,12,6,1.0,1.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,9.0,1.0,1.0,0.0,1.0,1,1.0
4,6,16,12,1.0,1.0,1.0,1.0,0.0,1.0,19.0,19.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,16.0,16.0,1.0,1.0,0.0,1.0,1,1.0
5,9,21,14,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,0.45454545454545453,0.4999999999999999,0.3333333333333333,0.9000000357627869,1.0,0.8333333333333334,5.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,0.34965034965034963,0.9938795848227315,1.6041958041958042,0.7326340326340325,1,1.0
6,10,2733,15,0.4,0.4999999999999999,0.3333333333333333,0.6654762029647827,6.0,0.5714285714285714,4.0,8.0,0.38461538461538464,0.4999999999999999,0.3333333333333333,0.8285714387893677,2.0,0.7142857142857143,5.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.0,0.999498997995992,1.0,0.8333333333333334,0,0.1
7,11,24,16,1.0,1.0,1.0,1.0,0.0,1.0,16.0,16.0,0.5,0.4999999999999999,0.3333333333333333,0.9238095283508301,1.0,0.8571428571428572,6.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,1.0,1.0,0.0,1.0,1,1.0
8,12,25,19,1.0,1.0,1.0,1.0,0.0,1.0,9.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,0.0,0.9995027349577325,1.0,0.8333333333333334,1,1.0
9,16,32,23,1.0,1.0,1.0,1.0,0.0,1.0,21.0,21.0,0.5,0.4999999999999999,0.3333333333333333,0.9142857193946838,1.0,0.8571428571428572,6.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,15.0,0.0,0.9835082458770614,4.0,0.33333333333333337,1,1.0
10,17,34,24,1.0,1.0,1.0,1.0,0.0,1.0,8.0,8.0,0.5,0.4999999999999999,0.3333333333333333,0.9238095283508301,1.0,0.8571428571428572,6.0,6.0,0.6206896551724138,0.6666666666666667,0.5,0.9394736886024475,6.0,0.75,13.0,13.0,0.0,0.9995009980039921,1.0,0.8333333333333334,1,1.0
11,18,35,25,1.0,1.0,1.0,1.0,0.0,1.0,14.0,14.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,28.0,28.0,1.0,1.0,0.0,1.0,1,1.0
12,20,35,26,0.6842105263157895,0.6666666666666667,0.5,0.9571428894996643,1.0,0.9285714285714286,13.0,13.0,0.38461538461538464,0.4999999999999999,0.3333333333333333,0.8285714387893677,2.0,0.7142857142857143,5.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,28.0,28.0,0.0,0.9990069513406157,1.0,0.8333333333333334,0,0.5
13,22,37,27,0.65,0.6666666666666667,0.5,0.9624999761581421,3.0,0.8125,10.0,13.0,0.3076923076923077,0.4999999999999999,0.3333333333333333,0.7460317611694336,3.0,0.5714285714285714,3.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,1.0,1.0,0.0,1.0,0,0.4
14,25,38,28,1.0,1.0,1.0,1.0,0.0,1.0,14.0,14.0,0.3076923076923077,0.4999999999999999,0.3333333333333333,0.7460317611694336,3.0,0.5714285714285714,3.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,23.0,23.0,1.0,1.0,0.0,1.0,1,1.0
15,27,44,33,1.0,1.0,1.0,1.0,0.0,1.0,8.0,8.0,0.45454545454545453,0.4999999999999999,0.3333333333333333,0.9000000357627869,1.0,0.8333333333333334,5.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,1.0,1.0,0.0,1.0,1,1.0
16,28,46,34,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,0.34965034965034963,0.9938795848227315,1.6041958041958042,0.7326340326340325,1,1.0
17,29,56,37,1.0,1.0,1.0,1.0,0.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,1.0,1.0,0.0,1.0,1,1.0
18,32,66,46,1.0,1.0,1.0,1.0,0.0,1.0,18.0,18.0,0.5,0.4999999999999999,0.3333333333333333,0.9238095283508301,1.0,0.8571428571428572,6.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,15.0,0.34965034965034963,0.9938795848227315,1.6041958041958042,0.7326340326340325,1,1.0
19,34,77,61,1.0,1.0,1.0,1.0,0.0,1.0,21.0,21.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,16.0,16.0,1.0,1.0,0.0,1.0,1,1.0
20,37,475,63,0.4,0.5,0.25,0.4809523820877075,11.0,0.47619047619047616,-1.0,10.0,0.3333333333333333,0.4999999999999999,0.3333333333333333,0.9047619104385376,2.0,0.7142857142857143,3.0,4.0,0.03125,0.0,0.0,0.5603174567222595,9.0,0.4,5.0,6.0,0.34965034965034963,0.9938795848227315,1.6041958041958042,0.7326340326340325,0,0.0
21,38,82,64,0.4,0.6666666666666667,0.5,0.8605042099952698,7.0,0.5882352941176471,7.0,9.0,0.3076923076923077,0.4999999999999999,0.3333333333333333,0.7460317611694336,3.0,0.5714285714285714,3.0,4.0,0.11538461538461539,0.0,0.0,0.7230769395828247,9.0,0.3076923076923077,3.0,3.0,0.0,0.9900744416873449,3.0,0.5,0,0.0
22,40,1766,65,0.35,0.5773502691896258,0.3333333333333333,0.4017857015132904,9.0,0.4375,-2.0,7.0,0.3076923076923077,0.4999999999999999,0.3333333333333333,0.7460317611694336,3.0,0.5714285714285714,3.0,4.0,0.027777777777777776,0.0,0.0,0.570899486541748,14.0,0.2222222222222222,0.0,4.0,0.0,0.9899949974987494,1.0,0.8333333333333334,0,0.0
23,42,1800,68,0.3181818181818182,0.40824829046386296,0.25,0.7092351913452148,5.0,0.6428571428571428,6.0,8.0,0.3076923076923077,0.4999999999999999,0.3333333333333333,0.7460317611694336,3.0,0.5714285714285714,3.0,4.0,0.03125,0.0,0.0,0.6596153974533081,10.0,0.375,3.0,3.0,0.0,0.9583539910758552,4.0,0.33333333333333337,0,0.0
24,44,85,71,1.0,1.0,1.0,1.0,0.0,1.0,15.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,0.3076923076923077,0.40824829046386296,0.25,0.6542264819145203,10.0,0.4736842105263158,1.0,7.0,1.0,1.0,0.0,1.0,0,0.5
